acpi-support-base 0.140-5+deb7u3
libconfig-general-perl 2.50-1
libconfig-tiny-perl 2.14-1
libconfig9:amd64 1.4.8-5
libcoroipcc4 1.4.2-3
libcoroipcs4 1.4.2-3
libcpg4 1.4.2-3
libcrmcluster1 1.1.7-1
libcrmcommon2 1.1.7-1
libcrypto++9 5.6.1-6
libcryptsetup4 2:1.4.3-4
libcups2:amd64 1.5.3-5+deb7u4
libcurl3:amd64 7.29.0-1~bpo70+1.ceph
libcurl3-gnutls:amd64 7.29.0-1~bpo70+1.ceph
libdatrie1:amd64 0.2.5-3
libdb5.1:amd64 5.1.29-5
libdbd-mysql-perl 4.021-1+b1
libdbi-perl 1.622-1+deb7u1
libdbus-1-3:amd64 1.6.8-1+deb7u4
libdbus-glib-1-2:amd64 0.100.2-1
libdevmapper-event1.02.1:amd64 2:1.02.74-8
libdevmapper1.02.1:amd64 2:1.02.74-8
libdirectfb-1.2-9:amd64 1.2.10.0-5
libdns88 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
libdpkg-perl 1.16.15
libdw1 0.152-1+wheezy1
libedit2:amd64 2.11-20080614-5
libelf1 0.152-1+wheezy1
libelfg0 0.8.13-3
liberror-perl 0.17-1
libesmtp6 1.0.6-1+b1
libevent-2.0-5:amd64 2.0.19-stable-3
libevs4 1.4.2-3
libexpat1:amd64 2.1.0-1+deb7u1
libexpat1-dev 2.1.0-1+deb7u1
libfdt1 1.3.0-4
libffi-dev:amd64 3.0.10-3
libffi5:amd64 3.0.10-3
libfile-copy-recursive-perl 0.38-1
libflac8:amd64 1.2.1-6
libfontconfig1:amd64 2.9.0-7.1
libfreetype6:amd64 2.4.9-1.1
libfuse2:amd64 2.9.0-2+deb7u1
libgc1c2 1:7.1-9.1
libgcc1:amd64 1:4.7.2-5
libgcrypt11:amd64 1.5.0-5+deb7u2
libgdbm3:amd64 1.8.3-11
libgdk-pixbuf2.0-0:amd64 2.26.1-1
libgdk-pixbuf2.0-common 2.26.1-1
libgeoip1 1.4.8+dfsg-3
libgfortran3:amd64 4.7.2-5
libglib2.0-0:amd64 2.33.12+really2.32.4-5
libgmp10:amd64 2:5.0.5+dfsg-2
libgnutls26:amd64 2.12.20-8+deb7u2
libgomp1:amd64 4.7.2-5
libgoogle-perftools4 2.0-2
libgpg-error0:amd64 1.10-3.1
libgpm2:amd64 1.20.4-6
libgssapi-krb5-2:amd64 1.10.1+dfsg-5+deb7u2
libgssglue1:amd64 0.4-2
libgtk2.0-0:amd64 2.24.10-2
libgtk2.0-common 2.24.10-2
libibverbs1 1.1.6-1
libice6:amd64 2:1.0.8-2
libicu48:amd64 4.8.1.1-12+deb7u1
libidn11:amd64 1.25-2
libisc84 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
libisccc80 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
libisccfg82 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
libiscsi1:amd64 1.4.0-3
libitm1:amd64 4.7.2-5
libjasper1:amd64 1.900.1-13
libjbig0:amd64 2.0-2+deb7u1
libjpeg8:amd64 8d-1+deb7u1
libjs-jquery 1.7.2+dfsg-1
libjs-jquery-cookie 6-1
libjs-sphinxdoc 1.1.3+dfsg-8~bpo70+1
libjs-swfobject 2.2+dfsg-1
libjs-underscore 1.1.6-1+deb7u1
libjson-perl 2.53-1
libjson-ruby 1.7.3-3
libjson0:amd64 0.10-1.2
libk5crypto3:amd64 1.10.1+dfsg-5+deb7u2
libkeyutils1:amd64 1.5.5-3+deb7u1
libklibc 2.0.1-3.1
libkmod2:amd64 9-3
libkrb5-3:amd64 1.10.1+dfsg-5+deb7u2
libkrb5support0:amd64 1.10.1+dfsg-5+deb7u2
liblapack3 3.4.1+dfsg-1+deb70u1
libldap-2.4-2:amd64 2.4.31-1+nmu2
libleveldb1:amd64 0+20120530.gitdd0d562-1
liblinear1 1.8+dfsg-1
liblocale-gettext-perl 1.05-7+b1
liblogsys4 1.4.2-3
liblrm2 1.0.9+hg2665-1
libltdl7:amd64 2.4.2-1.1
liblua5.1-0:amd64 5.1.5-4+deb7u1
liblwres80 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
